observation,test_name,Excitation_direction,Speed,Pin_des,Pout_des,Pin,Pout,Temp,Flow,Swirl,delta_P,viscosity,gamma,zeta,Cin,Cout,D,L,Cd,Kxx_2,Kxx_5 ,Kxx_7,Kxx_9,Kxx_11,Kxx_13,k_xy_2,k_xy_5,k_xy_7,k_xy_9,k_xy_11,k_xy_13,Cxx_2,Cxx_5,Cxx_7,Cxx_9,Cxx_11,Cxx_13,c_xy_2,c_xy_5,c_xy_7,c_xy_9,c_xy_11,c_xy_13
263,HC7_TP287_10000_130_H ,H,10000,130,100,128.908243,100.559915,27.437878,3.284275,0.20002693,28.348,2.07E-05,1.604,1.029,0.42,0.342,170,98.7,2.82,12.05406915,15.49751079,18.95904742,22.90081135,28.06948927,,12.984555,10.054712,8.212893,6.694744,6.27055,,0.058138,0.058219,0.056686,0.055873,0.055762,,-0.013701,-0.008278,-0.005916,-0.004273,-0.002973,
264,HC7_TP288_10000_195_V ,V,10000,195,150,193.555483,150.790186,26.896536,4.699363,0.188169846,42.765,2.32E-05,1.673,1.08,0.408,0.342,170,98.7,2.82,15.2738816,20.43907891,26.07321235,32.16482485,39.02531078,,19.285163,16.306598,13.780956,12.412771,11.251024,,0.09369,0.090948,0.087426,0.083746,0.079553,,-0.027419,-0.01689,-0.011391,-0.007331,-0.003502,
265,HC7_TP289_10000_195_H ,H,10000,195,150,192.825129,150.565054,25.767517,4.666174,0.183097264,42.26,2.31E-05,1.675,1.079,0.409,0.342,170,98.7,2.82,17.08593917,23.28343764,29.33927219,36.30133805,44.21230917,,20.335505,14.661974,11.500038,9.256931,7.99811,,0.091884,0.088664,0.08525,0.082386,0.080016,,-0.021739,-0.015785,-0.010347,-0.007277,-0.005258,
266,HC7_TP290_10000_35_V ,V,10000,35,25,35.126303,25.21703,28.658981,0.987092,-0.184926322,9.909,1.87E-05,1.46,0.996,0.434,0.343,170,98.7,2.82,3.62387131,4.649093875,5.520586914,6.613430571,7.958695503,,1.807258,1.372824,1.117086,0.931019,0.806798,,0.018909,0.017856,0.017131,0.016661,0.016141,,-0.000566,0.000046,0.000258,0.000374,0.000466,
267,HC7_TP291_10000_35_H ,H,10000,35,25,35.057449,25.871555,26.785726,0.960105,-0.204206419,9.186,1.86E-05,1.46,0.995,0.435,0.343,170,98.7,2.82,3.135368556,4.086649099,4.985961715,6.044668906,7.655801316,,1.309995,0.754791,0.331484,-0.106035,-0.621026,,0.018425,0.017895,0.017484,0.017242,0.017038,,-0.004845,-0.003645,-0.003075,-0.002575,-0.002118,
268,HC7_TP292_10000_65_V ,V,10000,65,50,65.427009,51.078687,25.061886,1.672828,-0.178517158,14.348,1.91E-05,1.513,0.998,0.431,0.343,170,98.7,2.82,4.889169791,6.176145556,7.409531796,8.899275848,10.69188499,,2.897437,1.995396,1.417066,0.908656,0.238596,,0.031121,0.029972,0.029076,0.028468,0.028109,,-0.002872,-0.001987,-0.001478,-0.001226,-0.00103,
269,HC7_TP293_10000_65_H ,H,10000,65,50,65.592582,50.999665,26.059492,1.685946,-0.180196904,14.593,1.92E-05,1.513,0.999,0.431,0.343,170,98.7,2.82,4.629717709,5.980518795,7.23169138,8.682282634,10.70150339,,2.642049,1.84208,1.177377,0.447909,-0.316219,,0.030056,0.0298,0.029325,0.02911,0.029207,,-0.005902,-0.004139,-0.003278,-0.00244,-0.00148,
270,HC7_TP294_10000_130_V ,V,10000,130,100,132.778339,101.575643,25.928098,3.407397,-0.182707295,31.203,2.08E-05,1.611,1.03,0.417,0.342,170,98.7,2.82,8.068911975,11.64576042,15.46489153,19.48064476,24.03893451,,6.193401,4.034628,2.698147,1.347502,0.082822,,0.067749,0.064256,0.061839,0.059681,0.05775,,-0.004884,-0.004916,-0.003626,-0.00297,-0.002647,
271,HC7_TP295_10000_130_H ,H,10000,130,100,132.253818,101.314115,25.17317,3.468655,-0.205490635,30.94,2.08E-05,1.612,1.03,0.418,0.342,170,98.7,2.82,9.096213317,12.42725048,15.79810728,19.80108889,24.99405244,,5.142896,3.464009,2.376117,0.871254,-0.293255,,0.063843,0.062097,0.061175,0.059953,0.059311,,-0.012525,-0.007768,-0.00608,-0.004263,-0.002147,
272,HC7_TP296_12000_35_V ,V,12000,35,25,34.213334,25.298385,30.404875,0.957178,0.316362446,8.915,1.87E-05,1.457,0.996,0.435,0.343,170,98.7,2.82,3.415990301,4.513530016,,6.563416511,7.888362766,9.443727756,3.696788,3.056881,,2.138309,1.745334,1.582541,0.016861,0.015859,,0.014615,0.01388,0.013381,-0.006515,-0.003546,,-0.001967,-0.001227,-0.000572
