observation,test_name,Excitation_direction,Speed,Pin_des,Pout_des,Pin,Pout,Temp,Flow,Swirl,delta_P,viscosity,gamma,zeta,Cin,Cout,D,L,Cd,Kxx_2,Kxx_5 ,Kxx_7,Kxx_9,Kxx_11,Kxx_13,k_xy_2,k_xy_5,k_xy_7,k_xy_9,k_xy_11,k_xy_13,Cxx_2,Cxx_5,Cxx_7,Cxx_9,Cxx_11,Cxx_13,c_xy_2,c_xy_5,c_xy_7,c_xy_9,c_xy_11,c_xy_13
69,HC3_TP85_12000_100_V ,V,12000,100,50,68.993625,50.744347,18.045401,2.106408,0.686547,18.249,1.90E-05,1.527,0.996,0.53,0.441,219.775,65,2.75,6.106547184,7.390574141,,8.719466918,9.077993376,9.784650081,10.268077,10.158294,,10.805993,12.118338,14.84696,0.022106,0.023942,,0.022992,0.023613,0.025592,-0.004307,-0.000179,,0.001542,0.002242,0.002836
70,HC3_TP86_12000_100_H ,H,12000,100,50,69.581596,50.908847,14.240281,2.114,0.663736,18.673,1.88E-05,1.533,0.994,0.529,0.441,219.775,65,2.75,7.040188797,8.13956859,,9.643615044,10.48591323,11.61579143,10.312785,9.826414,,10.682617,11.841706,14.366354,0.022269,0.024285,,0.024108,0.024673,0.026223,-0.004265,-0.001224,,0.000512,0.000789,0.000624
71,HC3_TP87_12000_200_V ,V,12000,200,100,138.089272,100.373354,15.600868,4.002452,0.637213,37.716,2.10E-05,1.64,1.027,0.518,0.44,219.775,65,2.75,12.51489608,14.65755722,,17.21865681,18.56944221,20.59972038,19.78249,19.837221,,21.303486,23.879333,27.778604,0.044967,0.046638,,0.044913,0.046073,0.048525,-0.007195,0.000321,,0.002814,0.003466,0.003369
72,HC3_TP88_12000_200_H ,H,12000,200,100,138.487187,100.623102,16.786029,4.000366,0.640211,37.864,2.10E-05,1.638,1.028,0.518,0.44,219.775,65,2.75,13.55921807,15.92221448,,18.85545086,20.60084749,23.00907595,20.447487,19.326896,,20.259587,22.284478,26.729924,0.045467,0.047269,,0.045741,0.046582,0.048901,-0.007617,-0.001645,,0.001411,0.001961,0.001649
73,HC3_TP89_14000_50_V ,V,14000,50,25,34.871538,25.915618,18.267078,1.080922,0.637527,8.956,1.83E-05,1.465,0.993,0.535,0.442,219.775,65,2.75,2.746429088,3.49804824,,4.175388864,4.495782296,5.096132512,5.001523,4.962789,,5.435654,6.145826,7.378575,0.010362,0.011982,,0.01511,0.014711,0.015095,-0.001837,-0.000063,,0.000972,0.001208,0.001467
74,HC3_TP90_14000_50_H ,H,14000,50,25,34.724855,26.056899,16.829056,1.068677,0.650079,8.668,1.83E-05,1.465,0.993,0.535,0.442,219.775,65,2.75,3.343016459,3.801431742,,4.549552023,4.891802684,5.24805292,4.777845,4.590776,,5.140342,5.841173,7.066857,0.010083,0.01176,,0.015344,0.014898,0.015356,-0.001686,-0.000372,,0.000361,0.000521,0.000322
75,HC3_TP91_14000_100_V ,V,14000,100,50,70.202037,50.988093,20.723207,2.081567,0.586023,19.214,1.91E-05,1.526,0.998,0.529,0.441,219.775,65,2.75,5.447040382,6.882825468,,8.535542165,9.253177747,10.24100484,10.273035,10.152195,,10.765086,12.000666,14.113306,0.022427,0.025398,,0.024483,0.024926,0.026434,-0.004731,-0.00032,,0.0014,0.001981,0.002498
76,HC3_TP92_14000_100_H ,H,14000,100,50,69.759684,50.825399,20.668528,2.060301,0.594918,18.934,1.91E-05,1.525,0.997,0.529,0.441,219.775,65,2.75,6.436034712,7.738642564,,9.468916121,10.47934411,11.74407795,10.484047,9.643626,,10.387696,11.509612,13.979494,0.02274,0.025256,,0.025031,0.025438,0.026824,-0.004566,-0.001572,,0.000235,0.000694,0.000598
77,HC3_TP93_10000_50_V ,V,10000,50,25,34.142236,26.287937,13.712337,1.096981,-0.892523,7.854,1.81E-05,1.466,0.992,0.535,0.442,219.775,65,2.75,0.972396906,1.44114113,1.656008382,1.938235802,1.964884165,,-3.821448,-3.77885,-3.885358,-4.325654,-5.142461,,0.012542,0.01234,0.012405,0.01247,0.012895,,0.000766,-0.000191,-0.000558,-0.001004,-0.001275,
78,HC3_TP94_10000_50_H ,H,10000,50,25,34.146718,26.12414,10.574019,1.097347,-0.868491,8.023,1.80E-05,1.468,0.991,0.535,0.442,219.775,65,2.75,1.160716929,1.568688913,2.03052699,2.504102379,2.932508049,,-3.562582,-3.603817,-3.776939,-4.17192,-5.190184,,0.014077,0.013034,0.013033,0.013164,0.013503,,0.001041,-0.000026,-0.000118,-0.000368,-0.000555,
79,HC3_TP95_10000_100_V ,V,10000,100,50,67.83401,50.677607,10.549608,2.148485,-0.813197,17.156,1.87E-05,1.534,0.992,0.53,0.442,219.775,65,2.75,1.812555691,2.736572749,3.255966254,3.927167924,4.379109214,,-7.786614,-7.690197,-7.799083,-8.601884,-10.217265,,0.026313,0.025652,0.02561,0.025761,0.026635,,0.002247,0.000468,-0.000354,-0.001281,-0.001769,
80,HC3_TP96_10000_100_H ,H,10000,100,50,67.83427,50.603359,11.89701,2.146239,-0.840184,17.231,1.87E-05,1.533,0.992,0.53,0.442,219.775,65,2.75,2.010595095,3.150425744,4.122992485,5.17743387,6.289454535,,-7.562658,-7.552208,-7.688622,-8.302881,-9.959124,,0.029755,0.027205,0.026951,0.02706,0.027685,,0.002158,0.001042,0.000825,0.000204,-0.000314,
81,HC3_TP97_10000_200_V ,V,10000,200,100,132.919836,98.328579,11.583167,4.091,-0.834,34.591,2.08E-05,1.642,1.02,0.52,0.44,219.775,65,2.75,3.855228651,6.367909319,8.159698626,10.49405332,12.57492219,,-14.503265,-13.689501,-13.625828,-14.603,-17.14253,,0.054839,0.052742,0.052352,0.051441,0.052495,,0.009858,0.003329,0.001281,-0.000607,-0.002075,
82,HC3_TP98_10000_200_H ,H,10000,200,100,133.706899,98.16335,6.230525,4.052,-0.814,35.544,2.08E-05,1.656,1.017,0.52,0.44,219.775,65,2.75,3.909463163,7.306837167,9.764732429,12.54596589,15.92415512,,-14.361463,-13.377839,-12.550847,-13.06818,-14.871035,,0.063075,0.057092,0.054992,0.053868,0.053805,,0.006094,0.004456,0.002263,0.000946,-0.001108,
83,HC3_TP99_10000_300_V ,V,10000,300,150,201.230887,148.532315,13.577964,6.006,-0.839,52.699,2.36E-05,1.715,1.078,0.51,0.438,219.775,65,2.75,7.956826716,12.76400901,15.6279753,20.10200987,24.59352717,,-20.368082,-17.716299,-16.668356,-17.232543,-19.505122,,0.082407,0.077813,0.075839,0.073931,0.07383,,0.022526,0.010586,0.006606,0.001997,-0.000621,
84,HC3_TP100_10000_300_H ,H,10000,300,150,202.184141,149.201382,14.356654,5.908,-0.838,52.983,2.36E-05,1.713,1.08,0.51,0.438,219.775,65,2.75,6.702630346,12.25971345,16.46011787,21.22727632,27.56703771,,-20.425598,-18.016842,-16.031229,-15.214717,-16.735098,,0.086559,0.080976,0.077801,0.075843,0.074185,,0.011385,0.007141,0.004302,0.002099,-0.000922,
85,HC3_TP101_12000_50_V ,V,12000,50,25,34.084608,26.211909,16.639428,1.079574,-0.785517,7.873,1.82E-05,1.464,0.993,0.535,0.442,219.775,65,2.75,0.978985526,1.664647641,,2.562169811,2.875638216,3.251496656,-3.38243,-3.399474,,-3.980587,-4.810994,-6.111351,0.013482,0.013025,,0.012629,0.012756,0.013389,0.000167,-0.0002,,-0.001187,-0.001374,-0.001506
86,HC3_TP102_12000_50_H ,H,12000,50,25,33.675917,25.659153,19.078571,1.073052,-0.784369,8.017,1.83E-05,1.462,0.993,0.535,0.442,219.775,65,2.75,0.891669645,1.462087346,,2.583751713,3.054474348,3.40880248,-3.327586,-3.417575,,-4.159025,-5.133299,-6.757163,0.01394,0.013253,,0.013243,0.013174,0.013921,0.001176,-0.000282,,-0.000515,-0.000602,-0.000384
87,HC3_TP103_14000_50_V ,V,14000,50,25,34.311523,26.182349,16.232237,1.064817,-0.674793,8.129,1.82E-05,1.465,0.992,0.535,0.442,219.775,65,2.75,0.664797779,1.556754153,,2.770507881,3.154248821,3.825632466,-2.827156,-2.931915,,-3.579883,-4.414032,-5.697676,0.013464,0.013571,,0.012661,0.012683,0.013268,-0.000951,-0.000454,,-0.001293,-0.001404,-0.001482
88,HC3_TP104_14000_50_H ,H,14000,50,25,34.218511,26.242121,15.898232,1.061388,-0.686115,7.976,1.82E-05,1.465,0.992,0.535,0.442,219.775,65,2.75,0.773046448,1.539573456,,3.033646007,3.545413359,3.8926803,-2.96615,-2.976912,,-3.653709,-4.591822,-5.884283,0.014631,0.014113,,0.013522,0.013326,0.013872,0.001213,-0.000207,,-0.000625,-0.000544,-0.000356
89,HC3_TP105_10000_50_V ,V,10000,50,25,33.687126,25.73218,20.017368,1.100624,-0.875706,7.955,1.84E-05,1.462,0.994,0.535,0.442,219.775,65,2.75,0.8372493,1.295010471,1.457388028,1.704196983,1.772457086,,-4.019594,-4.030045,-4.148988,-4.560192,-5.405267,,0.012004,0.01199,0.009341,0.009954,0.010758,,0.000688,-0.000223,-0.000395,-0.000788,-0.001059,
90,HC3_TP106_10000_50_H ,H,10000,50,25,33.910406,25.826162,17.110606,1.098677,-0.848434,8.084,1.82E-05,1.464,0.993,0.535,0.442,219.775,65,2.75,1.068499761,1.477013074,1.92439148,2.394669861,2.934545521,,-3.739527,-3.842204,-4.053143,-4.447484,-5.489444,,0.013721,0.012728,0.009927,0.010647,0.011341,,0.00103,0.000076,-0.000011,-0.000165,-0.000325,
91,HC3_TP107_10000_100_V R,V,10000,100,50,67.840681,50.887763,15.389006,2.133085,-0.828164,16.953,1.88E-05,1.528,0.994,0.53,0.442,219.775,65,2.75,1.687159797,2.710923596,3.257997524,3.940847996,4.338977435,,-7.833849,-7.690933,-7.82164,-8.569961,-10.136875,,0.026095,0.025479,0.019746,0.020791,0.022325,,0.002589,0.000242,-0.000338,-0.001123,-0.001695,
92,HC3_TP108_10000_100_H R,H,10000,100,50,67.453368,50.805803,14.371056,2.109991,-0.823652,16.648,1.88E-05,1.529,0.994,0.53,0.442,219.775,65,2.75,2.0122624,3.161925303,4.168201284,5.175803525,6.298942,,-7.375399,-7.330902,-7.311006,-7.769256,-9.378464,,0.029002,0.026694,0.020581,0.021672,0.022763,,0.002179,0.001329,0.000767,0.000228,-0.000238,
93,HC3_TP109_14000_100_V R,V,14000,100,15,57.120286,16.661525,18.8317,2.313011,0.7319,40.459,1.87E-05,1.505,0.994,0.517,0.44,219.775,65,2.75,12.93072417,16.94385023,,22.60164082,25.77986073,30.1533342,16.749932,15.983358,,15.264662,16.061525,18.475996,0.021313,0.024893,,0.026906,0.024581,0.024179,-0.015104,-0.008394,,-0.00671,-0.005255,-0.004838
94,HC3_TP110_14000_100_H R,H,14000,100,15,56.923025,16.609145,17.661488,2.310981,0.738502,40.314,1.87E-05,1.506,0.994,0.517,0.44,219.775,65,2.75,14.71621542,17.59081135,,23.17280244,26.71324463,31.3506956,15.753088,14.518225,,14.465463,15.017499,16.694048,0.019433,0.023174,,0.027032,0.02494,0.024455,-0.012984,-0.008534,,-0.007879,-0.007211,-0.00753
95,HC3_TP111_14000_50_V ,V,14000,50,7,24.282548,4.48563,19.170008,1.161308,0.877164,19.797,1.82E-05,1.445,0.994,0.529,0.441,219.775,65,2.75,7.64036898,9.608323721,,12.46231101,14.23924001,16.52787898,8.870087,8.302277,,8.048302,8.477953,9.674264,0.009742,0.011856,,0.013059,0.01181,0.011471,-0.008739,-0.005065,,-0.004259,-0.003633,-0.00338
96,HC3_TP112_14000_50_H ,H,14000,50,7,24.342382,4.431459,19.654575,1.161552,0.879951,19.911,1.83E-05,1.444,0.994,0.529,0.441,219.775,65,2.75,8.303822954,9.774510599,,12.58779789,14.3925994,16.90490261,8.15556,7.566979,,7.571235,7.844158,8.724388,0.008695,0.011345,,0.013082,0.012235,0.012053,-0.007002,-0.004624,,-0.004457,-0.00433,-0.004687
97,HC3_TP115_14000_100_V ,V,14000,100,15,58.12911,20.22101,19.696574,2.272561,0.725047,37.908,1.88E-05,1.506,0.995,0.518,0.44,219.775,65,2.75,12.38647459,15.91779095,,21.12179552,24.10850378,28.00885316,15.908561,15.203338,,15.014033,15.80315,18.258289,0.02097,0.024872,,0.021496,0.020852,0.021239,-0.013082,-0.007151,,-0.004263,-0.003681,-0.003357
98,HC3_TP116_14000_100_H ,H,14000,100,15,58.358994,20.383387,17.059393,2.320407,0.718499,37.976,1.87E-05,1.509,0.993,0.518,0.44,219.775,65,2.75,13.91591694,16.46239531,,21.4298825,24.5872807,28.81904349,15.058714,14.088732,,14.309121,15.044941,16.97405,0.019844,0.023372,,0.021526,0.021245,0.02176,-0.010964,-0.006936,,-0.005162,-0.004881,-0.00546
99,HC4_TP119_10000_300_V ,V,10000,300,150,210.070114,151.163966,13.54077091,5.703331745,1.039816449,58.906,2.40E-05,1.723,1.087,0.407,0.338,170,65,2.79,12.95968075,13.64073525,13.09144466,12.95782176,14.41384181,,18.570381,19.130466,19.070676,19.646812,20.619704,,0.049132,0.047196,0.046185,0.046992,0.047679,,-0.002415,-0.001047,-0.001329,-0.000507,0.000067,
100,HC4_TP120_10000_300_H ,H,10000,300,150,210.1738747,150.9499337,13.42447093,5.730938214,1.041460959,59.224,2.40E-05,1.723,1.087,0.407,0.339,170,65,2.79,11.90804006,12.1003485,11.89354666,11.95161759,12.5109427,,17.934315,19.057156,19.869708,20.200046,21.959925,,0.047349,0.047027,0.047325,0.048577,0.049678,,0.000228,0.002082,0.000938,0.000726,0.001109,
101,HC4_TP121_10000_200_V ,V,10000,200,100,141.963288,100.668466,1.876921,4.041669,0.940077,41.295,2.11E-05,1.68,1.018,0.415,0.336,170,65,2.79,10.48032484,10.99472126,11.0137328,10.7565575,11.36862154,,12.880251,13.153661,13.021389,13.251685,14.188458,,0.038645,0.036122,0.035323,0.035999,0.036299,,-0.002067,-0.00159,-0.001658,-0.000596,0.000119,
102,HC4_TP122_10000_200_H ,H,10000,200,100,141.648018,100.740944,2.111306,3.996735,0.947737,40.907,2.11E-05,1.679,1.018,0.415,0.336,170,65,2.79,9.80226627,9.712573129,9.520410477,9.43308112,9.48131223,,12.031061,12.616417,12.767588,13.393103,15.22222,,0.036329,0.035302,0.035779,0.036878,0.037926,,-0.001025,0.001437,0.001106,0.001777,0.002057,
103,HC4_TP123_10000_100_V ,V,10000,100,50,71.460046,50.884535,2.995571,2.076988,0.943932,20.576,1.85E-05,1.552,0.987,0.424,0.332,170,65,2.79,6.266506391,6.200613008,6.137795198,5.930679859,6.022225342,,6.115923,6.158561,6.176591,6.402462,7.217629,,0.019244,0.016964,0.016691,0.017135,0.017594,,-0.001445,-0.000642,-0.000281,0.000246,0.000725,
104,HC4_TP124_10000_100_H ,H,10000,100,50,71.478937,50.692563,-0.426157,2.09027,0.93443,20.786,1.84E-05,1.558,0.985,0.424,0.332,170,65,2.79,5.60473566,5.606630179,5.524888347,5.49365101,5.24242862,,5.582517,5.922463,5.950237,6.280867,7.198401,,0.017654,0.017157,0.017652,0.018054,0.018844,,-0.000809,0.000961,0.000906,0.00123,0.001399,
105,HC4_TP125_10000_50_V ,V,10000,50,25,35.793718,25.426924,3.064384,1.067222,0.991731,10.367,1.78E-05,1.476,0.988,0.428,0.331,170,65,2.79,3.528818138,3.390066581,3.372669292,3.315782911,3.297675692,,2.905513,2.908401,2.884449,3.076801,3.488507,,0.010187,0.008331,0.008228,0.008433,0.008546,,-0.000964,-0.000203,0.00001,0.000235,0.000379,
106,HC4_TP126_10000_50_H ,H,10000,50,25,36.055306,25.76234,0.678114,1.074712,0.958083,10.293,1.77E-05,1.479,0.987,0.429,0.331,170,65,2.79,3.039389822,2.997746211,3.026100159,2.957061972,2.744058462,,2.669496,2.811854,2.79822,2.987937,3.441714,,0.009074,0.008381,0.008672,0.008808,0.009173,,-0.000903,0.000523,0.000534,0.00072,0.000861,
107,HC4_TP127_12000_200_V ,V,12000,200,100,142.718302,100.350072,2.081272,4.029826,0.787929,42.368,2.12E-05,1.681,1.019,0.415,0.336,170,65,2.79,9.176951097,10.02651819,,10.61031932,11.38446447,13.56710743,10.787338,10.98345,,10.869074,11.589362,13.046445,0.041681,0.037313,,0.038101,0.037419,0.037938,-0.003838,-0.001963,,-0.000293,0.000176,0.000607
108,HC4_TP128_12000_200_H ,H,12000,200,100,142.623841,100.51799,0.889994,4.012031,0.791583,42.106,2.12E-05,1.684,1.018,0.415,0.336,170,65,2.79,8.489201723,8.67218585,,9.738498136,10.22540943,10.78193757,10.89679,11.576928,,12.043095,13.23646,14.822687,0.039726,0.037855,,0.039036,0.038972,0.040061,-0.001089,0.001637,,0.001158,0.001336,0.001323
109,HC4_TP129_12000_100_V ,V,12000,100,50,72.041221,50.798914,-0.02232,2.095073,0.775365,21.242,1.85E-05,1.558,0.985,0.424,0.332,170,65,2.79,5.770466997,5.913573917,,6.229913364,6.610171047,7.163918725,5.062806,5.112043,,5.309731,5.854611,6.728081,0.020534,0.01808,,0.018605,0.018405,0.018679,-0.001666,-0.000734,,0.000182,0.000595,0.000774
110,HC4_TP130_12000_100_H ,H,12000,100,50,72.174249,50.847949,-0.495682,2.120294,0.776474,21.326,1.84E-05,1.559,0.985,0.424,0.332,170,65,2.79,5.30447916,5.33008552,,5.88862719,5.80256503,5.784614,5.092932,5.560721,,5.879594,6.560782,7.542187,0.019859,0.018577,,0.018939,0.019273,0.019845,-0.000965,0.001238,,0.001006,0.001134,0.001226
111,HC4_TP131_12000_50_V ,V,12000,50,25,36.020142,25.436472,2.452396,1.07703,0.818176,10.584,1.78E-05,1.477,0.987,0.428,0.331,170,65,2.79,3.295197313,3.241455865,,3.555659164,3.752864746,3.924080412,2.449153,2.44147,,2.608198,2.951962,3.528252,0.01009,0.00851,,0.008825,0.00864,0.008886,-0.000394,-0.000123,,0.000277,0.000428,0.000517
112,HC4_TP132_12000_50_H ,H,12000,50,25,36.032411,25.433364,0.516341,1.052929,0.805563,10.599,1.77E-05,1.479,0.987,0.428,0.331,170,65,2.79,3.00027195,2.969145089,,3.217573171,3.158311161,2.98635429,2.384621,2.561673,,2.773985,3.025839,3.576453,0.010168,0.008842,,0.009021,0.00903,0.0095,-0.000642,0.000635,,0.000651,0.000728,0.000742
113,HC4_TP133_10000_200_V ,V,10000,200,100,142.411086,101.154962,8.729115,4.005783,-0.927246,41.256,2.12E-05,1.662,1.025,0.415,0.336,170,65,2.79,16.27165366,16.78808302,16.88823423,17.02620708,17.90773874,,-15.506205,-14.428649,-14.262041,-14.423819,-15.252766,,0.033332,0.034612,0.033529,0.033904,0.034322,,0.005345,0.000023,-0.001505,-0.002599,-0.003618,
114,HC4_TP134_10000_200_H ,H,10000,200,100,142.170734,100.448187,6.355155,3.954342,-0.918759,41.723,2.12E-05,1.668,1.022,0.415,0.336,170,65,2.79,15.92204886,16.07127365,16.4026415,16.90820953,17.92318374,,-15.272171,-14.406329,-14.441599,-14.501479,-15.261453,,0.032138,0.033927,0.03411,0.0349,0.035681,,0.003757,-0.001329,-0.002278,-0.003075,-0.003594,
115,HC4_TP135_10000_100_V ,V,10000,100,50,71.77331,50.647599,4.266893,2.072868,-0.913019,21.126,1.86E-05,1.551,0.988,0.424,0.332,170,65,2.79,9.166858131,9.314315968,9.447162798,9.472401479,9.876125282,,-7.787584,-7.211802,-7.238235,-7.478481,-8.164495,,0.016729,0.017229,0.016803,0.017067,0.017437,,0.001646,-0.000241,-0.000983,-0.001659,-0.002195,
116,HC4_TP136_10000_100_H ,H,10000,100,50,71.98179,50.688523,2.184431,2.083136,-0.903645,21.293,1.85E-05,1.555,0.987,0.424,0.332,170,65,2.79,8.818532514,9.02424677,9.169175945,9.283520189,9.585090194,,-7.906514,-7.484149,-7.486328,-7.658616,-8.12212,,0.017018,0.017169,0.017178,0.017606,0.018117,,0.001366,-0.000748,-0.001417,-0.001743,-0.001887,
117,HC4_TP137_10000_50_V ,V,10000,50,25,36.10771,25.670091,4.272936,1.050717,-0.898357,10.438,1.78E-05,1.476,0.988,0.428,0.331,170,65,2.79,4.77618619,4.770540666,4.834391142,4.917225094,5.143465569,,-3.789362,-3.519742,-3.516357,-3.650557,-4.017007,,0.008384,0.008119,0.008026,0.008136,0.008333,,0.000987,0.000067,-0.000321,-0.000695,-0.000892,
118,HC4_TP138_14000_200_V ,V,14000,200,100,141.5548774,100.5371376,9.781115619,3.88091615,0.701450832,41.018,2.11E-05,1.658,1.025,0.415,0.336,170,65,2.79,8.618284185,9.434446528,,10.500078,11.283005,13.15275125,9.01883,9.383816,,9.566693,10.326335,11.094261,0.04,0.035545,,0.035549,0.035244,0.035265,-0.001662,-0.00134,,-0.00003,0.000557,0.000774
119,HC4_TP139_14000_200_H ,H,14000,200,100,141.4964259,100.4543446,9.506794271,3.885948292,0.700807708,41.042,2.11E-05,1.659,1.025,0.415,0.336,170,65,2.79,7.63237766,7.903059645,,9.164236144,9.650785109,10.58692869,9.000119,9.748146,,10.472986,11.762374,13.34168,0.037236,0.035767,,0.036821,0.037058,0.038329,-0.000097,0.001688,,0.00111,0.00116,0.000921
120,HC4_TP140_14000_100_V ,V,14000,100,50,72.14289759,50.9519184,9.122788667,2.049668078,0.713343089,21.191,1.88E-05,1.545,0.992,0.424,0.332,170,65,2.79,5.257367819,5.410895302,,5.992072592,6.249070888,7.100687276,4.417071,4.47465,,4.68261,5.176831,6.059108,0.019639,0.017533,,0.017817,0.017492,0.017707,-0.000419,-0.00023,,0.000484,0.00083,0.000945
121,HC4_TP141_14000_100_H ,H,14000,100,50,72.05434642,50.86203039,7.693455604,2.045940208,0.718181832,21.192,1.87E-05,1.546,0.991,0.424,0.332,170,65,2.79,4.722630411,4.868137087,,5.290519492,5.354861401,5.400894122,4.447954,4.665257,,5.193396,5.820872,6.847498,0.018489,0.01791,,0.018187,0.01832,0.019145,-0.000757,0.000789,,0.000844,0.000951,0.000899
122,HC4_TP142_14000_100_V ,V,14000,100,75,85.3113097,75.89068444,10.78743294,1.614672926,0.504735343,9.421,1.91E-05,1.567,0.996,0.429,0.331,170,65,2.79,3.185018439,3.31464794,,2.097028258,1.031881387,-0.403443233,1.725727,1.22924,,1.624211,1.91202,2.172911,0.017016,0.015249,,0.014333,0.014208,0.01481,-0.002688,-0.000335,,0.000442,0.000726,0.000844
123,HC4_TP143_14000_100_H ,H,14000,100,75,85.27359752,75.87616059,11.62863042,1.594221061,0.500731697,9.397,1.92E-05,1.565,0.997,0.429,0.331,170,65,2.79,3.098721798,3.107838344,,1.926441776,0.505124716,-1.545898415,1.414057,1.09918,,1.491289,1.891318,2.579204,0.015535,0.01482,,0.014056,0.014024,0.014632,-0.00262,-0.000043,,0.000409,0.000524,0.00054
124,HC4_TP144_14000_50_V ,V,14000,50,25,36.10722736,25.94144277,11.24688976,1.05006623,0.750861149,10.166,1.81E-05,1.471,0.991,0.429,0.331,170,65,2.79,2.57737356,2.663449954,,2.81382291,2.743133365,2.7925909,2.008198,2.098641,,2.411505,2.697389,3.145111,0.009118,0.008451,,0.0085,0.008583,0.009002,-0.000548,0.000459,,0.000579,0.000588,0.000634
125,HC4_TP145_14000_50_H ,H,14000,50,25,36.04316914,25.86229315,11.77021944,1.04646371,0.76009442,10.181,1.81E-05,1.471,0.991,0.429,0.331,170,65,2.79,2.823236803,2.87117811,,3.194090418,3.234703135,3.406946319,2.094788,2.083737,,2.290518,2.509167,3.13661,0.009094,0.008172,,0.00825,0.008095,0.008221,0.000148,0.000056,,0.000537,0.000685,0.000725
126,HC4_TP146_14000_100_V ,V,14000,100,15,62.21770953,14.2314895,1.445532348,2.283313554,0.892268641,47.986,1.82E-05,1.535,0.985,0.412,0.337,170,65,2.79,16.04724626,17.52084009,,19.95427862,21.98297444,24.77628259,8.158858,7.671168,,7.314295,7.794036,8.777314,0.015581,0.015224,,0.013988,0.013696,0.013293,-0.006831,-0.003455,,-0.001556,-0.000876,-0.000524
127,HC4_TP147_14000_100_H ,H,14000,100,15,62.28924663,14.26091513,1.196258622,2.289960415,0.892521073,48.028,1.82E-05,1.535,0.985,0.412,0.337,170,65,2.79,15.13058466,16.66981365,,19.22025678,21.35502975,23.93765121,8.571478,8.168069,,8.033887,8.401211,9.168529,0.015106,0.015848,,0.015083,0.015044,0.014932,-0.003742,-0.001648,,-0.000845,-0.000489,-0.000637
128,HC4_TP148_10000_100_V ,V,10000,100,75,83.75577,74.792409,6.957273,1.675076,0.700664,8.963,1.90E-05,1.57,0.993,0.429,0.33,170,65,2.79,3.977886436,3.200552938,2.509273498,1.453734444,0.174024237,,2.599346,2.146231,2.237261,2.510467,3.14752,,0.012926,0.01336,0.013418,0.013741,0.014423,,-0.00056,-0.000062,0.000579,0.001109,0.001375,
129,HC4_TP149_10000_100_H ,H,10000,100,75,84.266384,75.487846,4.620554,1.665161,0.690252,8.779,1.89E-05,1.575,0.991,0.429,0.33,170,65,2.79,3.584495637,2.975672573,2.353527754,1.162026087,-0.661321843,,2.258483,1.967783,2.032382,2.219179,2.756523,,0.014096,0.013833,0.013905,0.014061,0.014478,,-0.0011,0.000597,0.000914,0.001204,0.001442,
130,HC4_TP150_10000_100_V ,V,10000,100,35,66.467769,38.823164,-0.617053,2.202079,1.082145,27.645,1.83E-05,1.547,0.984,0.421,0.333,170,65,2.79,0.676438039,1.262758129,1.71605489,2.241184401,2.586681844,,-0.098764,-0.014627,0.102632,0.274098,0.453403,,0.000832,0.000742,0.000753,0.000703,0.00083,,0.000633,-0.00011,-0.000162,-0.00028,-0.00059,
131,HC4_TP151_10000_100_H ,H,10000,100,35,66.547736,38.927682,-0.580603,2.20077,1.083725,27.62,1.83E-05,1.547,0.985,0.421,0.333,170,65,2.79,10.44163312,10.62474146,10.83970586,11.16043347,12.14620428,,7.24772,7.356459,7.478576,7.578198,8.087322,,0.013915,0.015418,0.015388,0.015879,0.016198,,-0.000405,0.000126,0.000008,0.000187,0.000265,
132,HC4_TP152_10000_100_V ,V,10000,100,15,60.881838,14.263665,2.376432,2.296912,1.270922,46.618,1.82E-05,1.531,0.986,0.413,0.337,170,65,2.79,17.15559124,18.0932781,18.94863711,20.25662366,22.17230533,,9.066688,8.69367,8.629802,8.753484,9.260595,,0.013853,0.014071,0.013337,0.013279,0.013115,,-0.006178,-0.003101,-0.002214,-0.001688,-0.001214,
133,HC4_TP153_10000_100_H ,H,10000,100,15,61.088819,14.256183,0.104771,2.301901,1.244642,46.833,1.82E-05,1.534,0.985,0.413,0.337,170,65,2.79,16.42081206,17.49760041,18.48928091,19.75477296,21.9728755,,9.405078,9.055094,9.027775,9.145592,9.374861,,0.013477,0.014221,0.013868,0.013778,0.013962,,-0.003671,-0.001604,-0.001297,-0.000974,-0.00081,
134,HC4_TP154_10000_100_V ,V,10000,100,75,84.499429,74.917786,4.765255,1.655618,-0.646497,9.582,1.89E-05,1.575,0.992,0.429,0.331,170,65,2.79,5.569698079,4.968279101,4.261505574,3.323331168,2.245914442,,-4.360631,-4.456803,-4.531011,-4.572765,-4.947496,,0.01466,0.01393,0.013976,0.014178,0.01479,,-0.001733,-0.002399,-0.002547,-0.002847,-0.003246,
135,HC4_TP155_10000_100_H ,H,10000,100,75,85.100424,75.886208,3.799456,1.619446,-0.627458,9.214,1.89E-05,1.578,0.991,0.429,0.33,170,65,2.79,5.233211697,4.593294836,3.959210034,2.765880097,1.334705337,,-4.648176,-4.487954,-4.301449,-4.294314,-4.450035,,0.013222,0.01348,0.013526,0.013823,0.014302,,-0.000221,-0.001917,-0.002506,-0.002703,-0.002932,
